corpus_id,review_id,cohort,rating,inclusion_status,special_flag,exclusion_reason,screening_note
CUR016,bdfb6984-d25c-4c0d-a6c0-fcbc870ebc09,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR017,437fd92e-947f-4f03-ab2e-9792a69954ab,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR018,a764c76a-6f22-41ee-9fe7-3565ced6f675,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR019,f464a544-d6bf-401e-908e-6124f680306c,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR020,7eb6ef19-6054-477f-832d-62b04beddd01,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR021,6b201ff5-cebe-46a1-af99-169a463edff1,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR022,3da30c22-2ded-4bfa-b1b3-c43b1c98bbca,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR023,0b508548-8d19-46b4-b8bf-dfaf1bf9028b,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR024,48d4a9ba-bd57-4d4d-9776-85723cea3d9d,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR025,e7018487-c171-48cd-9bbc-5fd64b6134a6,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR026,9fbbd2c3-8a0c-4962-a892-af9e238c432e,april_2026_burst,3,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR027,be6e9fe4-3c14-4fd9-ae8c-2940fddbf847,april_2026_burst,2,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR028,abbabdd2-1ce9-4a0e-9317-63d42e112ef1,april_2026_burst,1,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR029,a5446aaf-cd0d-43ed-9645-d75ecbbd1f4d,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR030,f3f4c9d3-f2da-4432-bb85-37bb438b1962,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR031,a2cfbaf6-50a8-4237-af41-88374c7ce6d8,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR032,c1642262-75e3-49cb-8cc3-c597e1fc635c,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR033,1d1646e4-16ec-4029-9a17-33e95ed04a6f,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR034,3a105847-12a5-4421-855f-03b131b5303d,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR035,500b765c-7ed0-43b1-8fb3-ca03c104f852,april_2026_burst,1,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR036,403f0651-161a-417d-9d36-acd9ab2c8df7,april_2026_burst,4,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR037,7c90a30d-6c2f-43a2-b147-43e3da7c2e39,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR038,4bb87984-e3c3-4766-82d8-15605331467f,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR039,9f292b02-4147-48f1-91d6-03623fef4a93,april_2026_burst,1,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR040,1fbb2d3d-c53c-44e5-918d-7008d93ef90b,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR041,838e5f50-0fc0-40f1-a244-af08f84fd4b0,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR042,d0de599a-3ce1-4ed8-aa7f-2128bc0e91de,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR043,34c9a0b0-5df4-4d5e-be05-e0d015ea508d,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR044,ea35c245-e259-4108-9541-c77fb720d792,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR045,8be04d0d-8ba4-4ffc-b338-8db27762e030,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR046,c7ef7b5e-a814-401e-bbc8-c4daeb4acde6,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR047,4d7eb368-d38d-4484-b921-b0d8557cc77f,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR048,e6598944-0fbd-4bb4-bc5c-5af993a7e013,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR049,bdb61131-c76f-4652-808d-b89cdba6ab4c,april_2026_burst,5,exclude,april_2026_burst,평가 대상·가치·불편·행동·결과가 드러나지 않는 일반 긍정 표현('좋습니다ㅎㅎ'),별점·시계열 통계에는 유지
CUR050,d8ef35a1-a7a2-49cb-9773-226bd35ffecc,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR051,4aa64b52-1812-4a02-9247-90a53184b92f,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR052,56174bf9-fc03-4970-bf9f-e6251ba9db27,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR053,b653b501-ad91-49a0-bef4-eb3080a12c3d,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR054,b4a1e061-7fb5-4c60-8eaa-d613297fb9d3,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR055,080e897f-6569-48c5-8d54-58c0d3008cea,april_2026_burst,5,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR056,868b024c-ca31-42ae-a461-91f75ef0294f,april_2026_burst,4,include,april_2026_burst,,근거 구체성은 의미 단위 카드별로 판정
CUR057,7db89d06-fbfc-4a77-9257-7c1e53f2c097,other_recent_months,3,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR058,02ade739-1735-4cff-92d5-faf94155b012,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR059,6bacec1e-111c-4e73-8874-061ca0ec22d7,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR060,a598739b-77aa-46f0-8564-ef34ebbf4663,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR061,2f485d64-e5fb-43dc-a04d-f163fc332e2e,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR062,9a7ac466-3755-43ce-830a-3575b5224557,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR063,7045eec6-4367-4ed5-9ca8-2cb78d202abd,other_recent_months,2,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR064,b2d3c8e8-7070-497b-ada9-172f05d707dd,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR065,ea2624ce-8b08-48c4-a874-52fe0d1d5778,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR066,c57ac06b-ab4f-4f2c-b8fd-c6be479a8cf9,other_recent_months,3,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR067,7d86394a-3fe2-4371-b1df-c281b4fea91a,other_recent_months,3,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR068,6acc62f3-cd27-448f-9f45-2523396e579c,other_recent_months,3,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR069,d3f455cc-d5af-47ba-b827-3b8327b4eec0,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR070,54253b55-b286-4349-835d-80f2363d5116,other_recent_months,2,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR071,0f0c0b8e-889f-457f-b057-c7889c66226a,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR072,5ea12bb6-f063-478b-9c33-46b3d3079e84,other_recent_months,2,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR073,36cbffe9-efe8-4790-a174-2d28add8e241,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR074,21a01e53-8875-4a7b-9b87-d80ac7f1cc8a,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR075,436f3788-e491-43b6-a2ff-a95c2a8465c0,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR076,b1f16084-4d73-4cfb-86a6-e2009e7beefa,other_recent_months,4,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR077,2296bda2-54a9-4fe7-9328-b3d06f344027,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR078,517e17a3-454e-4198-914e-bc781eddcb5f,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR079,1ed06e08-5d46-4104-adef-216c526a38cf,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR080,5ba1d817-80b2-4c17-a2ed-0c1571594ec3,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR081,9d3c7d90-2611-4418-9df6-69a6227f917d,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR082,6a8443aa-af57-49f1-9883-ea73ea42d1db,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR083,00cb961b-6b3b-418a-830d-ebeef7a31838,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR084,9964d709-79c9-489d-9d31-f939e3ffa22f,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR085,6867eb9f-9dec-44a8-938b-3f3f0e215bc8,other_recent_months,5,include,event_declared,,근거 구체성은 의미 단위 카드별로 판정
CUR086,efa1e1f9-6008-45bc-844a-1ccaa55dc525,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR087,0a22e2c1-7141-417b-a4fe-f9f32e82254f,other_recent_months,4,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR088,b1126274-6b96-426e-82f9-d29a60cdd2ac,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR089,3b6475fc-f4c6-4572-a869-804cd8ea9221,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR090,6ae46e12-7cc4-4102-9831-89fa43460d4a,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR091,770962db-2fe6-4ed1-a5e2-9941cc2f1a2a,other_recent_months,4,include,event_declared,,근거 구체성은 의미 단위 카드별로 판정
CUR092,a61f86f0-accf-4372-8724-cd64c2bedbd4,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR093,4695788a-dcc1-4f87-b5a7-c76241f05175,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR094,ca575d96-1326-496a-9fae-032b410468af,other_recent_months,3,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR095,c259de67-e37c-410a-9874-46d937af0752,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR096,c23917a3-e379-4f5e-b66a-e395992c8c01,other_recent_months,4,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR097,c6152b90-4601-4caf-8173-00d405209a8b,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR098,39353040-bcdf-483d-8aef-0964fbde2a29,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR099,9129de67-966d-4cb5-a00a-ffb642e7319d,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR100,46e64ea5-92c9-4650-a007-ae28bf30dcd1,other_recent_months,2,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR101,47b54b84-d6a2-4099-9b43-72ca89c27fd1,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR102,09c336dc-e261-4232-90c4-27be6e7ab4af,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR103,5ec098a6-9f4e-4456-97de-ae3a8ef55fbe,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR104,7e92c376-c67f-4936-8e8b-1cf56174039e,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR105,80f369de-4ab7-41db-bfcb-fba08adb5bc3,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR106,872d3faa-ae10-4dc3-bfb2-4cb7a37b6e61,other_recent_months,3,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR107,c2603b67-2b66-4b54-b98b-ad52127bfd8e,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR108,12eefb59-380f-4db5-b5cf-eee5b4e65c61,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR109,936c3080-ceca-47ca-9bce-745e27ca3bd4,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR110,efd4ce94-11df-404f-8211-ca3579f5f219,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR111,98c3a6df-4ee1-419d-876b-d7965ad09947,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR112,38bb76c8-ab63-43c4-9e37-08a3d1886e59,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR113,f732d595-1fcd-40d1-a32d-fd96f1d237d4,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR114,1057ecdb-b132-49f5-9c95-8f608c875d40,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR115,ee1dcd52-6531-4f6e-acf3-5674031dd562,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR116,8384c8ae-decb-46cb-a0a7-0a21bb69917a,other_recent_months,3,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR117,d882f5f9-1389-4646-92d5-a5989e998598,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR118,d97bdec0-c3f8-45e0-b4c8-f871f96fb759,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR119,333fa0a8-9135-42a7-93fa-202307f478d9,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR120,bf527afb-b1f8-4311-9276-39d0c1807274,other_recent_months,4,include,,,근거 구체성은 의미 단위 카드별로 판정
