card_id,source_type,source_id,utterance_id,event_or_publish_date,collected_date,period_bucket,platform,source_url,rating,verbatim_excerpt,paraphrase,context,trigger_signal,behavior,outcome,alternative_service,primary_tag,secondary_tag,sentiment,evidence_type,evidence_strength,dedupe_key,cluster_id,need_statement,researcher_memo,pii_removed,coder,coding_status
GP011,app_review,S001,84c2c886-1,2026-05-11,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,받은 관심 있어서 캔디 주고 열었는데 받은 관심 탭에서 왜 계속 잠겨있나요?,호스트·플랫폼의 수익화 방식이나 인위적인 인기 신호가 경험의 질을 해친다고 인식했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,캔디,비용과 운영 방식을 평가,운영자와 플랫폼에 대한 신뢰 저하,,호스트상업화,안전·신뢰,negative,perception,medium,gplay-84c2c886-b7b8-463f-b76b-fbc15cf889d2-호스트상업화,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP012,app_review,S001,84c2c886-2,2026-05-11,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,받은 관심 있어서 캔디 주고 열었는데 받은 관심 탭에서 왜 계속 잠겨있나요?,앱 기능이나 운영 절차의 오류·지연 때문에 모임 이용 과정이 끊겼다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,관심 있어서 캔디 주고 열었는데 받은 관심 탭에서 왜 계속 잠,재설치·재시도 또는 문의,이용 실패와 시간 손실,,경험품질,안전·신뢰,negative,outcome,medium,gplay-84c2c886-b7b8-463f-b76b-fbc15cf889d2-경험품질,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP013,app_review,S001,bdfb6984-1,2026-05-09,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,기획 좋았던 분들은 대부분 넷플연가나 비슷한 다른 모임으로 떠나고...,더 적합한 모임이나 운영자를 찾아 다른 서비스·외부 관계로 이동했다고 설명했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,넷플연가,대체 채널로 이동,문토 이용 감소 또는 이탈,넷플연가,대체서비스,이탈행동,negative,behavior,high,gplay-bdfb6984-d25c-4c0d-a6c0-fcbc870ebc09-대체서비스,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함. 동일 발화의 이탈행동 카드를 2차 검토에서 병합함.,Y,Codex(AI),coded
GP014,app_review,S001,bdfb6984-3,2026-05-09,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,"😂 그러다보니 예전엔 재밌고 독특한 소셜링도 많았는데, 요즘은 보이는 게 로테이션 소개팅이나 부담스런 파티밖엔 없더라고요.",취미 커뮤니티에서 소개팅·매칭 목적이 전면화되었다고 판단했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,소개팅,서비스 목적을 재평가,취미 중심 서비스라는 기대 약화,,숨은만남신호,기대불일치,negative,observed_signal,medium,gplay-bdfb6984-d25c-4c0d-a6c0-fcbc870ebc09-숨은만남신호,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함. 동일 발화의 기대불일치 카드를 2차 검토에서 병합함.,Y,Codex(AI),coded
GP015,app_review,S001,bdfb6984-4,2026-05-09,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,주류 소셜링만 추천/홍보해주고 나머지는 다 소리소문 없이 묻히는 구조.,지역·추천 구조 때문에 원하는 취미 모임을 발견하기 어렵다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,찾아보기도 힘,원하는 모임을 탐색,탐색 비용 증가와 선택지 축소,,탐색피로,기대불일치,negative,outcome,medium,gplay-bdfb6984-d25c-4c0d-a6c0-fcbc870ebc09-탐색피로,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP016,app_review,S001,bdfb6984-5,2026-05-09,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,"운영비가 필요해 유료 소셜링을 개최하면, 수수료를 무려 🌟20%🌟나 떼감...",호스트·플랫폼의 수익화 방식이나 인위적인 인기 신호가 경험의 질을 해친다고 인식했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,수수료,비용과 운영 방식을 평가,운영자와 플랫폼에 대한 신뢰 저하,,호스트상업화,안전·신뢰,negative,perception,medium,gplay-bdfb6984-d25c-4c0d-a6c0-fcbc870ebc09-호스트상업화,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP017,app_review,S001,437fd92e-1,2026-05-07,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,프로필 편집할때 사진 한번 누르면 안지워지고 영구적으로 남김 쓰레기같애 개인정보보호는 전혀없음,취소·환불·신원·분쟁 대응 과정에서 플랫폼의 보호와 운영을 신뢰하기 어렵다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,개인정보,문제를 신고하거나 지원을 요청,참여 안전감과 플랫폼 신뢰 저하,,안전·신뢰,경험품질,negative,outcome,medium,gplay-437fd92e-947f-4f03-ab2e-9792a69954ab-안전·신뢰,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함. 동일 발화의 경험품질 카드를 2차 검토에서 병합함.,Y,Codex(AI),coded
GP018,app_review,S001,9fbbd2c3-1,2026-04-22,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,3,채팅이 불편한 점이 있긴 하지만 문토를 통해 다양한 활동을 경험할 수 있어서 좋습니다.,앱 기능이나 운영 절차의 오류·지연 때문에 모임 이용 과정이 끊겼다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,채팅,재설치·재시도 또는 문의,이용 실패와 시간 손실,,경험품질,안전·신뢰,negative,outcome,medium,gplay-9fbbd2c3-8a0c-4962-a892-af9e238c432e-경험품질,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP019,app_review,S001,9fbbd2c3-2,2026-04-22,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,3,채팅이 불편한 점이 있긴 하지만 문토를 통해 다양한 활동을 경험할 수 있어서 좋습니다.,관심사 중심 활동과 사람 간 교류가 실제 취미 경험과 일상 만족을 높였다고 평가했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,좋,취미 모임에 참여하거나 반복 이용,취미 목적 충족과 긍정적 관계 형성,,긍정·반례,경험품질,mixed,outcome,medium,gplay-9fbbd2c3-8a0c-4962-a892-af9e238c432e-긍정·반례,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP020,app_review,S001,be6e9fe4-1,2026-04-22,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,2,"술파티, 소개팅만 남음.",취미 커뮤니티에서 소개팅·매칭 목적이 전면화되었다고 판단했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,소개팅,서비스 목적을 재평가,취미 중심 서비스라는 기대 약화,,숨은만남신호,기대불일치,negative,observed_signal,medium,gplay-be6e9fe4-3c14-4fd9-ae8c-2940fddbf847-숨은만남신호,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함. 동일 발화의 기대불일치 카드를 2차 검토에서 병합함.,Y,Codex(AI),coded
GP021,app_review,S001,be6e9fe4-2,2026-04-22,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,2,"그마저도 지인들끼리 별점 돌려막기, 무료로 여자 게스트 초대하고 남자들이 비용 부담하는 구조였습니다.",성별에 따른 초대·비용 차이나 인위적인 성비 운영을 의심하거나 관찰했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,여자 게스트,파티 구성과 비용 구조를 평가,공정성과 참가자 진정성에 대한 불신,,성비·조건,호스트상업화,negative,observed_signal,medium,gplay-be6e9fe4-3c14-4fd9-ae8c-2940fddbf847-성비·조건,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함. 동일 발화의 호스트상업화 카드를 2차 검토에서 병합함.,Y,Codex(AI),coded
GP022,app_review,S001,be6e9fe4-4,2026-04-22,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,2,"왜이렇게 됐나 찾아보니, 별점 몰아주기에 대한 제재는 없으면서 이상한 이유로 소셜링 호스트에 대한 제재는 쏟아지더라구요.",취소·환불·신원·분쟁 대응 과정에서 플랫폼의 보호와 운영을 신뢰하기 어렵다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,제재,문제를 신고하거나 지원을 요청,참여 안전감과 플랫폼 신뢰 저하,,안전·신뢰,경험품질,negative,outcome,medium,gplay-be6e9fe4-3c14-4fd9-ae8c-2940fddbf847-안전·신뢰,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP023,app_review,S001,500b765c-1,2026-04-16,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,"취향인연 오류가 너무 많아요 관심 표시 눌러도 화면 나갔다 돌아오면 관심 눌른게 복구 돼있고, 앱 업데이트나 삭제했다 다시 설치해도 안 고쳐지네요.",앱 기능이나 운영 절차의 오류·지연 때문에 모임 이용 과정이 끊겼다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,오류,재설치·재시도 또는 문의,이용 실패와 시간 손실,,경험품질,안전·신뢰,negative,outcome,medium,gplay-500b765c-7ed0-43b1-8fb3-ca03c104f852-경험품질,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP024,app_review,S001,9f292b02-1,2026-04-12,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,근데 파티모임은 가지마세요.,반복된 불편이나 서비스 방향 변화 뒤 이용 중단·삭제·탈퇴 의사를 밝혔다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,가지마,이용 중단 또는 회피,재이용 의향 저하,,이탈행동,경험품질,negative,behavior,high,gplay-9f292b02-4147-48f1-91d6-03623fef4a93-이탈행동,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP025,app_review,S001,9f292b02-2,2026-04-12,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,성비 박살에 여자분들은 꽁으로 참여하는 섭외 여성들이 80%입니다.,성별에 따른 초대·비용 차이나 인위적인 성비 운영을 의심하거나 관찰했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,성비,파티 구성과 비용 구조를 평가,공정성과 참가자 진정성에 대한 불신,,성비·조건,안전·신뢰,negative,observed_signal,medium,gplay-9f292b02-4147-48f1-91d6-03623fef4a93-성비·조건,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP026,app_review,S001,9f292b02-3,2026-04-12,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,근데 파티모임은 가지마세요.,다양한 취미 활동을 기대했지만 술·파티·소개팅 중심으로 변했다고 평가했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,파티모임,현재 목록과 과거 경험을 비교,서비스 정체성에 대한 기대 불일치,,기대불일치,숨은만남신호,negative,perception,medium,gplay-9f292b02-4147-48f1-91d6-03623fef4a93-기대불일치,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP027,app_review,S001,9f292b02-4,2026-04-12,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,다른모임은 좋아요.,관심사 중심 활동과 사람 간 교류가 실제 취미 경험과 일상 만족을 높였다고 평가했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,좋,취미 모임에 참여하거나 반복 이용,취미 목적 충족과 긍정적 관계 형성,,긍정·반례,경험품질,mixed,outcome,medium,gplay-9f292b02-4147-48f1-91d6-03623fef4a93-긍정·반례,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP028,app_review,S001,7db89d06-1,2026-03-24,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,3,계속되는 취향인연 프로필 네트워크 오류.,앱 기능이나 운영 절차의 오류·지연 때문에 모임 이용 과정이 끊겼다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,오류,재설치·재시도 또는 문의,이용 실패와 시간 손실,,경험품질,안전·신뢰,negative,outcome,medium,gplay-7db89d06-fbfc-4a77-9257-7c1e53f2c097-경험품질,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP029,app_review,S001,02ade739-1,2026-03-18,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,문토를 좋아했고 잘 사용했지만 몇가지 문제점이 너무 많아서 삭제 했고 꼭 개선되었으면 하는 부분이 있습니다.,반복된 불편이나 서비스 방향 변화 뒤 이용 중단·삭제·탈퇴 의사를 밝혔다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,삭제,이용 중단 또는 회피,재이용 의향 저하,,이탈행동,경험품질,negative,behavior,high,gplay-02ade739-1735-4cff-92d5-faf94155b012-이탈행동,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP030,app_review,S001,02ade739-2,2026-03-18,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,유료 소셜링중에 '호스트 수고비' 이거는 없었으면 좋겠습니다.,호스트·플랫폼의 수익화 방식이나 인위적인 인기 신호가 경험의 질을 해친다고 인식했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,호스트 수고비,비용과 운영 방식을 평가,운영자와 플랫폼에 대한 신뢰 저하,,호스트상업화,안전·신뢰,negative,perception,medium,gplay-02ade739-1735-4cff-92d5-faf94155b012-호스트상업화,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP031,app_review,S001,02ade739-3,2026-03-18,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,호스트들의 노쇼가 너무 많다.,취소·환불·신원·분쟁 대응 과정에서 플랫폼의 보호와 운영을 신뢰하기 어렵다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,노쇼,문제를 신고하거나 지원을 요청,참여 안전감과 플랫폼 신뢰 저하,,안전·신뢰,경험품질,negative,outcome,medium,gplay-02ade739-1735-4cff-92d5-faf94155b012-안전·신뢰,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP032,app_review,S001,02ade739-4,2026-03-18,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,3.알림 개선 알림은 너무 올때도 있고 안 올때도 있습니다.,앱 기능이나 운영 절차의 오류·지연 때문에 모임 이용 과정이 끊겼다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,알림,재설치·재시도 또는 문의,이용 실패와 시간 손실,,경험품질,안전·신뢰,negative,outcome,medium,gplay-02ade739-1735-4cff-92d5-faf94155b012-경험품질,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP033,app_review,S001,02ade739-5,2026-03-18,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,문토를 좋아했고 잘 사용했지만 몇가지 문제점이 너무 많아서 삭제 했고 꼭 개선되었으면 하는 부분이 있습니다.,관심사 중심 활동과 사람 간 교류가 실제 취미 경험과 일상 만족을 높였다고 평가했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,좋,취미 모임에 참여하거나 반복 이용,취미 목적 충족과 긍정적 관계 형성,,긍정·반례,경험품질,mixed,outcome,medium,gplay-02ade739-1735-4cff-92d5-faf94155b012-긍정·반례,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP034,app_review,S001,6bacec1e-1,2026-03-03,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,이렇다할 모임도 없고 무조건 유료참여인듯함.,지역·추천 구조 때문에 원하는 취미 모임을 발견하기 어렵다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,모임도 없,원하는 모임을 탐색,탐색 비용 증가와 선택지 축소,,탐색피로,기대불일치,negative,outcome,medium,gplay-6bacec1e-111c-4e73-8874-061ca0ec22d7-탐색피로,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP035,app_review,S001,6bacec1e-2,2026-03-03,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,이렇다할 모임도 없고 무조건 유료참여인듯함.,호스트·플랫폼의 수익화 방식이나 인위적인 인기 신호가 경험의 질을 해친다고 인식했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,유료,비용과 운영 방식을 평가,운영자와 플랫폼에 대한 신뢰 저하,,호스트상업화,안전·신뢰,negative,perception,medium,gplay-6bacec1e-111c-4e73-8874-061ca0ec22d7-호스트상업화,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함.,Y,Codex(AI),coded
GP036,app_review,S001,a598739b-1,2026-02-21,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,관리가 거의 안되는 신뢰할 수 없는 플랫폼 결제 완료 후 모임 측 사유(인원 마감)로 참석이 불가해졌습니다.,취소·환불·신원·분쟁 대응 과정에서 플랫폼의 보호와 운영을 신뢰하기 어렵다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,환불,문제를 신고하거나 지원을 요청,참여 안전감과 플랫폼 신뢰 저하,,안전·신뢰,경험품질,negative,outcome,medium,gplay-a598739b-77aa-46f0-8564-ef34ebbf4663-안전·신뢰,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함. 동일 발화의 경험품질 카드를 2차 검토에서 병합함.,Y,Codex(AI),coded
GP037,app_review,S001,2f485d64-1,2026-02-14,2026-07-30,recent,Google Play,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,1,인증번호 요청했는데 오지도 않네 신뢰가 떨어지는 어플이라더니.역시였네 대단하다 진짜,취소·환불·신원·분쟁 대응 과정에서 플랫폼의 보호와 운영을 신뢰하기 어렵다고 보고했다.,Google Play 공개 리뷰에서 문토 이용 경험을 회고함,신뢰,문제를 신고하거나 지원을 요청,참여 안전감과 플랫폼 신뢰 저하,,안전·신뢰,경험품질,negative,outcome,medium,gplay-2f485d64-e5fb-43dc-a04d-f163fc332e2e-안전·신뢰,,,AI 1차 분류. 원문 맥락·발화 분리·태그를 연구자가 검증해야 함. 동일 발화의 경험품질 카드를 2차 검토에서 병합함.,Y,Codex(AI),coded
