card_id,source_type,source_id,utterance_id,event_or_publish_date,collected_date,period_bucket,platform,source_url,rating,verbatim_excerpt,paraphrase,context,trigger_signal,behavior,outcome,alternative_service,primary_tag,secondary_tag,sentiment,evidence_type,evidence_strength,dedupe_key,cluster_id,need_statement,researcher_memo,pii_removed,coder,coding_status
AS011,app_review,S006,12771672470-3,2025-06-13,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,2,잘 안쓰게 돼요,원하는 소규모 모임을 찾기 어려워 사용 빈도가 낮아졌다고 밝혔다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,잘 안쓰게 돼요,이용 빈도 감소,소극적 이탈,,이탈행동,탐색피로,negative,behavior,high,appstore-12771672470-이탈행동-11,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS012,app_review,S006,12751810763-1,2025-06-08,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,3,모임 하나도 안나와요,검색 결과에 모임이 나타나지 않는다고 보고했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,모임 하나도 안나와요,모임을 검색,선택지 부재,,탐색피로,경험품질,negative,outcome,low,appstore-12751810763-탐색피로-12,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS013,app_review,S006,12682998475-1,2025-05-21,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,30분 동안 20-30명 인원이 비 맞으며 대기,우천 대비 없이 다수 참가자가 장시간 대기한 진행 실패를 경험했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,30분 동안 20-30명 인원이 비 맞으며 대기,현장에서 대기 후 귀가,시간 손실과 모임 경험 악화,,경험품질,안전·신뢰,negative,outcome,high,appstore-12682998475-경험품질-13,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS014,app_review,S006,12682998475-2,2025-05-21,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,계정 여러개 돌려서 온도 테러함,부정 리뷰 후 복수 계정으로 평점 보복을 받았다고 주장했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,계정 여러개 돌려서 온도 테러함,경험에 낮은 평점을 남김,보복 우려와 플랫폼 신뢰 저하,,안전·신뢰,호스트상업화,negative,outcome,medium,appstore-12682998475-안전·신뢰-14,,,작성자 주장으로 사실관계는 별도 확인 필요 동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS015,app_review,S006,12682998475-3,2025-05-21,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,최악의 경험을 마지막으로 앱 삭제함,반복 이용 후 최악의 현장 경험을 계기로 앱을 삭제했다고 밝혔다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,최악의 경험을 마지막으로 앱 삭제함,앱 삭제,서비스 이탈,,이탈행동,경험품질,negative,behavior,high,appstore-12682998475-이탈행동-15,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS016,app_review,S006,12677314409-1,2025-05-20,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,카카오 로그인 계속 팅겨서 로그인 안되고,로그인 오류 때문에 참여를 진행하지 못했다고 보고했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,카카오 로그인 계속 팅겨서 로그인 안되고,로그인을 반복 시도,모임 참여 중단,,경험품질,안전·신뢰,negative,outcome,medium,appstore-12677314409-경험품질-16,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS017,app_review,S006,12658909742-1,2025-05-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,카톡 로그인 시도 10번 넘게 했는데 계속 안됩니다,열 차례 넘게 로그인에 실패했다고 보고했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,카톡 로그인 시도 10번 넘게 했는데 계속 안됩니다,로그인 반복 시도,서비스 진입 실패,,경험품질,안전·신뢰,negative,outcome,high,appstore-12658909742-경험품질-17,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS018,app_review,S006,12538903996-1,2025-04-13,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,3,프사 변경하려고 하면 에러메시지가 뜨네요,프로필 사진 변경 기능에서 오류를 경험했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,프사 변경하려고 하면 에러메시지가 뜨네요,프로필 변경 시도,프로필 관리 실패,,경험품질,안전·신뢰,negative,outcome,medium,appstore-12538903996-경험품질-18,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS019,app_review,S006,12587611257-1,2025-04-26,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,3,프로필 사진을 확대할 수 있는 기능이 있었으면 좋겠습니다,참석자 프로필을 확대해 확인할 수 있기를 요청했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,프로필 사진을 확대할 수 있는 기능이 있었으면 좋겠습니다,참석자 프로필 확인,참여 전 판단 정보의 가독성 부족,,경험품질,안전·신뢰,mixed,perception,low,appstore-12587611257-경험품질-19,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS020,app_review,S006,12514664882-1,2025-04-07,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,매너점수? 평점을 메기는 방식으로 인해 가식이 난무하는 곳,평점 체계가 진솔한 관계보다 평판 관리를 유도한다고 인식했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,매너점수? 평점을 메기는 방식으로 인해 가식이 난무하는 곳,평점과 이용자 행동을 관찰,참가자와 평점 신호에 대한 불신,,안전·신뢰,호스트상업화,negative,perception,medium,appstore-12514664882-안전·신뢰-20,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS021,app_review,S006,12514664882-2,2025-04-07,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,취미를 빌미로 터무니 없는 금액을 요구하는 장사꾼들이 판치고,취미를 매개로 과도한 비용을 요구하는 판매형 모임이 많다고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,취미를 빌미로 터무니 없는 금액을 요구하는 장사꾼들이 판치고,비용과 호스트 목적을 평가,참여 비용과 진정성에 대한 불신,,호스트상업화,경험품질,negative,perception,medium,appstore-12514664882-호스트상업화-21,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS022,app_review,S006,12514664882-3,2025-04-07,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,다른 플랫폼 옵션도 고려해 보시길,문토 외 다른 플랫폼을 대안으로 고려하라고 권했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,다른 플랫폼 옵션도 고려해 보시길,대체 플랫폼을 고려,문토 의존도와 재이용 의향 저하,다른 플랫폼(미명시),대체서비스,이탈행동,negative,behavior,medium,appstore-12514664882-대체서비스-22,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS023,app_review,S006,12500684017-1,2025-04-03,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,3,글 작성할때마다 렉 걸리고 사진 로딩하는데 한세월이고 다 썼는데 튕기고,글 작성·사진 로딩 과정의 지연과 종료로 작성 내용을 잃었다고 보고했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,글 작성할때마다 렉 걸리고 사진 로딩하는데 한세월이고 다 썼는데 튕기고,게시글 작성,시간 손실과 작성 실패,,경험품질,안전·신뢰,negative,outcome,medium,appstore-12500684017-경험품질-23,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS024,app_review,S006,12485415934-1,2025-03-30,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,유저들 채팅 데이터 멋대로 모니터링하고 있는 건가요?,외부 채팅 언급에 대한 벌점 때문에 채팅 감시와 제재 기준을 우려했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,유저들 채팅 데이터 멋대로 모니터링하고 있는 건가요?,벌점 사유를 추론하고 이의 제기,프라이버시와 운영 신뢰 저하,,안전·신뢰,경험품질,negative,perception,medium,appstore-12485415934-안전·신뢰-24,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS025,app_review,S006,12372005061-1,2025-03-01,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,지독한 신천지,종교 권유로 의심되는 참가자를 경험했다고 짧게 주장했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,지독한 신천지,참가자 위험을 평가,참여 안전감 저하,,안전·신뢰,경험품질,negative,perception,low,appstore-12372005061-안전·신뢰-25,,,맥락과 구체적 장면이 부족함 동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS026,app_review,S006,12260872739-1,2025-02-02,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,"사람들 많다, 모임 날마다 열림",참가자와 모임 공급이 충분하다는 장점을 함께 언급했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,"사람들 많다, 모임 날마다 열림",모임 선택지를 확인,선택 기회 증가,,긍정·반례,경험품질,mixed,outcome,low,appstore-12260872739-긍정·반례-26,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS027,app_review,S006,12260872739-2,2025-02-02,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,굉장히 상업적,참가자 경험과 모임 운영이 지나치게 상업적이라고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,굉장히 상업적,서비스 경험을 평가,모임 진정성 저하,,호스트상업화,경험품질,negative,perception,low,appstore-12260872739-호스트상업화-27,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS028,app_review,S006,12260872739-3,2025-02-02,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,결론: 탈퇴했음,부정적 경험 후 탈퇴했다고 명시했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,결론: 탈퇴했음,회원 탈퇴,서비스 이탈,,이탈행동,경험품질,negative,behavior,high,appstore-12260872739-이탈행동-28,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS029,app_review,S006,12084703850-1,2024-12-20,2026-07-30,middle,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,사교모임 파티에서는 여러이성이랑 한꺼번에 연락하고,파티 참가자들이 다수의 이성과 동시에 연락하는 만남 목적 행동을 보인다고 주장했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,사교모임 파티에서는 여러이성이랑 한꺼번에 연락하고,파티 참가자 행동을 평가,취미보다 연애 목적이라는 인식,,숨은만남신호,안전·신뢰,negative,observed_signal,low,appstore-12084703850-숨은만남신호-29,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS030,app_review,S006,12084703850-2,2024-12-20,2026-07-30,middle,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,바람피는사람 천지입니다,사교 파티 참가자의 관계 상태와 행동을 신뢰하기 어렵다고 주장했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,바람피는사람 천지입니다,참가자 신뢰성을 평가,파티 참여 회피 의향,,안전·신뢰,숨은만남신호,negative,perception,low,appstore-12084703850-안전·신뢰-30,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS031,app_review,S006,12082781625-1,2024-12-19,2026-07-30,middle,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,필터링해도 필터도 제대로안됨,필터가 의도대로 작동하지 않는다고 보고했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,필터링해도 필터도 제대로안됨,필터 사용,탐색 기능 실패,,경험품질,안전·신뢰,negative,outcome,low,appstore-12082781625-경험품질-31,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS032,app_review,S006,11936916402-1,2024-11-10,2026-07-30,middle,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,계속 로그아웃 되고 로그인 하려 하면 오류,반복 로그아웃과 로그인 오류를 경험했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,계속 로그아웃 되고 로그인 하려 하면 오류,로그인 재시도,서비스 접근 실패,,경험품질,안전·신뢰,negative,outcome,medium,appstore-11936916402-경험품질-32,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS033,app_review,S006,12827053972-1,2025-06-28,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,5,하나밖에 못 만들어서 아쉽습니다,생성 가능한 모임 수의 제한을 아쉬워했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,하나밖에 못 만들어서 아쉽습니다,모임 생성,호스트 활동 제약,,경험품질,긍정·반례,mixed,perception,low,appstore-12827053972-경험품질-33,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS034,app_review,S006,12655340576-1,2025-05-14,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,4,카카오톡 연결이 안됩니다,카카오톡 연동이 작동하지 않는다고 보고했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,카카오톡 연결이 안됩니다,카카오톡 연동 시도,기능 이용 실패,,경험품질,안전·신뢰,mixed,outcome,medium,appstore-12655340576-경험품질-34,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS035,app_review,S006,12564940538-1,2025-04-20,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,5,같은메시지 한개보내면 알람 두개씩 떠요,동일 메시지 알림이 중복 표시되는 오류를 경험했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,같은메시지 한개보내면 알람 두개씩 떠요,알림 확인,알림 피로,,경험품질,긍정·반례,mixed,outcome,medium,appstore-12564940538-경험품질-35,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS036,app_review,S006,12564940538-2,2025-04-20,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,5,취미같은 사람끼리 만날수도있어서 좋네요,비슷한 취미를 가진 사람을 만날 수 있어 즐거웠다고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,취미같은 사람끼리 만날수도있어서 좋네요,취미 모임 참여,취미 목적과 관계 형성 충족,,긍정·반례,경험품질,positive,outcome,medium,appstore-12564940538-긍정·반례-36,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS037,app_review,S006,12545444556-1,2025-04-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,5,시간가는줄모르고 떠들다 갑니다,대화에 몰입할 만큼 즐거운 모임을 경험했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,시간가는줄모르고 떠들다 갑니다,모임에서 대화,긍정적인 사교 경험,,긍정·반례,경험품질,positive,outcome,medium,appstore-12545444556-긍정·반례-37,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS038,app_review,S006,12536922593-1,2025-04-12,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,5,참석 구성원을 볼 수 있게 표시해주세요,참석자와 클럽 정보를 탐색 화면에서 확인할 수 있기를 요청했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,참석 구성원을 볼 수 있게 표시해주세요,참석 정보 확인 시도,참여 전 판단 정보 부족,,경험품질,안전·신뢰,mixed,perception,medium,appstore-12536922593-경험품질-38,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS039,app_review,S006,12513851630-1,2025-04-07,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,5,비용도 합리적이고 재밌었습니다,합리적인 비용으로 재미있는 모임을 경험했다고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,비용도 합리적이고 재밌었습니다,유료 모임 참여,비용과 경험에 대한 만족,,긍정·반례,호스트상업화,positive,outcome,medium,appstore-12513851630-긍정·반례-39,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS040,app_review,S006,12178038125-1,2025-01-12,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,4,유료모임 열고 정산 기다리는 중인데 언제 해주죠,유료 모임 정산 지연과 안내 페이지 오류를 경험했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,유료모임 열고 정산 기다리는 중인데 언제 해주죠,정산 상태 확인과 문의,호스트 운영 불확실성,,경험품질,호스트상업화,mixed,outcome,high,appstore-12178038125-경험품질-40,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS041,app_review,S006,11902854727-1,2024-11-02,2026-07-30,middle,Apple App Store,https://apps.apple.com/kr/app/id1535886772,5,참 목적이 좋은 앱입니다,서비스의 취미·사교 목적을 긍정적으로 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,참 목적이 좋은 앱입니다,서비스 목적 평가,전반적 호감,,긍정·반례,경험품질,positive,perception,low,appstore-11902854727-긍정·반례-41,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS042,app_review,S006,11718954312-1,2024-09-13,2026-07-30,middle,Apple App Store,https://apps.apple.com/kr/app/id1535886772,5,종류별로 다양한 모임들이 있어서 편리하게 이용,다양한 취미 모임을 한곳에서 찾을 수 있어 편리했다고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,종류별로 다양한 모임들이 있어서 편리하게 이용,취미 모임 탐색,탐색 편의와 선택지 만족,,긍정·반례,탐색피로,positive,outcome,medium,appstore-11718954312-긍정·반례-42,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
