sample_id,review_date_utc,rating,review_title,review_text,theme_ids,theme_names,coding_status,source_scope
ASR025,2025-01-12T20:13:03-07:00,4,이거 정산 언제 되나요,"유료모임 열고 정산 기다리는 중인데,,, 언제 해주죠 전에는 모임 열면 그 주 수요일에 바로 들어오던데 지금은 안 그러고 유료모임 정산 어떻게 되는지 질문하기 눌러서 확인하려는데 데이터를 키고 눌렀는데도 네트워크 불안정하다 그러네요 언제 정산되나요….",C01|C05|H01,앱 오류·기능 실패|문의·문제 해결|호스트 개설·운영 조건,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR026,2024-12-20T04:58:42-07:00,1,인성쓰레기들 밖에없어요,사교모임 파티에서는 여러이성이랑 한꺼번에 연락하고 바람피는사람 천지입니다.비추해요.,C07|C11,호스트·참여자·정보 신뢰|연애·파티 목적 경험,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR027,2024-12-19T15:12:26-07:00,1,여기 망해간다던데,"여기 대표가 직원들에게 갑질로 서비스가 망해가던데

필터링해도 필터도 제대로안됨 

쿼리를 누가짠건지 ..ㄷㄷ",C14,필터·검색·발견,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR028,2024-11-10T22:46:41-07:00,1,로그인 오류,계속 로그아웃 되고 로그인 하려 하면 오류나는데 확인 좀 해주시죠,C01,앱 오류·기능 실패,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR029,2024-11-02T03:14:45-07:00,5,좋은앱,참 목적이 좋은 앱입니다:),V01,함께하는 취미 활동 가치,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR030,2024-10-23T17:46:05-07:00,1,프로필사진등록이안됨,계속안되는데 확인해주세요,C01,앱 오류·기능 실패,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR031,2024-09-25T07:31:39-07:00,3,처음엔좋았으나 돈벌려고 모인 사람들 가득,별것도 아닌 것들이 돈벌겠다고 설치는 꼴들 목록 보다가 나와버리게 됨,C10,수익 구조와 상업화 인식,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR032,2024-09-17T16:01:58-07:00,1,너무 별로였던 경험,"소셜링 신청했더니 카톡 초대하고 좋은 인원 모시기 전에 미리 한번 봐야한다는 ㅂㅅ도 있었음. 하루 보는 것도 아닌 캠핑이나 펜션 ㅋㅋㅋ 합숙 면접인건가?..
뭐 다른 곳도 마찬가지겠지만 정말 별의별 사람이 다 있고 잘못 걸리면 굉장히 불쾌한 경험 합니다 참고하세요~",C07,호스트·참여자·정보 신뢰,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR033,2024-09-13T02:23:06-07:00,5,너무 만족합니다 ㅎㅎ,취미 생활을 가져볼까 하고 모임을 찾는데 쉽지 않더라구요 그러다가 발견한 어플인데 종류별로 다양한 모임들이 있어서 편리하게 이용할 수 있었어요ㅎㅎ,C14|C16|V01,필터·검색·발견|모임 선택 폭|함께하는 취미 활동 가치,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR034,2024-09-11T22:52:46-07:00,5,취향에 맞게 잘 볼수 있어서 좋아요,취향에 맞게 잘볼수있는게 만족스럽고 또 취미나 좋아하는게 같은 사람들이랑 만날수있다는게 좋은어플인거 같아요 ! 매우 만족입니당 🙂,C14|V03,필터·검색·발견|잘 맞는 사람·관계 가치,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR035,2024-09-11T05:34:46-07:00,1,인증번호만 몇십개가 옵니다ㅠ,"가입하려고 번호 적고 인증번호 받기 눌렀는데 다섯개의 인증번호가 문자로도, 카톡으로도 날아옵니다.. 다 입력해봤는데 아니라고 해서 가입 안 되길래 그냥 삭제했는데 그 이후로도 이전 번호들 그대로 몇번이고 다섯개씩 자꾸 날아와요ㅠ 좀 멈춰주세요ㅠ",C01|R02,앱 오류·기능 실패|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR036,2024-09-11T05:22:02-07:00,1,아니 무슨 광고메시지를 1분에 하나씩 보내요 ;;,살크업 WEEK 제가 알아서 할게요 ㅠ,C13,원치 않는 접근·알림,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR037,2024-09-11T05:09:00-07:00,1,같은 알림을 도대체 몇 번이나 보내시는 거예요,"휴대폰이랑 워치에 똑같은 마케팅 알림을 몇 번씩이나 왜 보내시는건지 이유를 알려주세요

하필 알림도 살크업 어쩌구 하는거라 꼴뵈기 싫고요 

어플 지우려다가 알림 차단만 했습니다",C13,원치 않는 접근·알림,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR038,2024-09-11T04:46:53-07:00,1,푸시 알림 오류,자주 사용하는 앱은 아니었지만 푸시 알림 오류로 계속 반복적으로 알림이 와서 잠시 앱을 삭제해두었습니다 해결이 필요해 보여요,C01|C13|R02,앱 오류·기능 실패|원치 않는 접근·알림|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR039,2024-09-09T22:30:58-07:00,5,매력적인 와인의 세계로 빠져들었어요,마시기는 잘하지만 뭔가 와인은 더 깊이 파고들고 싶다는 생각을 했었는데요 어떻게 시작할지 고민중인 와중에 호스트님께서 오픈하신 소셜에 참가하게 되었어요  정말 제대로 왔다! 싶었습니다  초심자도  어렵지 않게 즐길 수 있도록 매력적인 와인의 세계로 안네해주신 호스트님께 감사합니다  시간이 흐를수록 변화하는 와인의 매력에 완전히 풍덩 빠졌어요  처음엔 이건가 저건가 갸웃갸웃 했지만 어느새 입안에 맴도는 향을 입밖으로 꺼내어보면서 너무 즐거웠습니다 앞으로 더 멋진 와인을 경험해 보고 싶네요~,V02,새로운 시도·취향 발견,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR040,2024-08-05T03:39:56-07:00,5,채팅방 입장이 안됩니다,이유가 뭘까요? 폰을 바꿔봐도 지웠다 깔아버ㅏ도 안됩니다! ㅠㅠ,C01,앱 오류·기능 실패,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR041,2024-08-04T23:39:06-07:00,5,괜찮네요,이거 은근 괜찮아요. 자기 관심분야의 모임에 나가면 집에 있는것보단 훨씬 낫고 가치있는 시간 보낼수 있음. 모임 나가서 연애는 본인 하기 나름이지만 사람 만나는거 자체는 본인의 성격이나 생활을 바꿀수 있는 기회니 한번 시도해보는것도 좋습니다,V01|V03,함께하는 취미 활동 가치|잘 맞는 사람·관계 가치,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR042,2024-07-14T12:14:53-07:00,1,문토,문토 정말 좋은데 소셜링 삭제나 숨길 수 있는 기능 없어서 탈퇴를 해야됨..;,C02|R02,앱 사용 편의와 정보 표현|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR043,2024-06-20T20:25:05-07:00,1,세상 호스트에게 이렇게 빡빡한 가이드가 있는,"세상 호스트에게 이렇게 빡빡한 가이드가 있는 
플랫폼은 처음
문제는 게스트가 만들고 운영진의 이상한 운영 방식으로
문제가 있는걸 
계속 호스트 가이드만 추가해서 운영하기 너무 힘들게함",C06|H01,규칙 집행과 제재|호스트 개설·운영 조건,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR044,2024-06-11T03:07:44-07:00,5,문토 감사,새로운 사람들과 소통할 수 있게 해주어서 감사합니다,V03,잘 맞는 사람·관계 가치,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR045,2024-05-24T19:05:37-07:00,5,어플문제 문의,"어디다 문의를 해야할지 몰라서 여기다 남겨요
카톡아이디로 문토에 가입했다가 탈퇴하지않고 카톡삭제 후 다시 다운로드해서 새로운 카톡아이디를 만들었는데요

새로생긴 카톡아이디로 다시 가입을 하려니까 그전 가입된 카톡아이디가 남아있는지 새가입도 안되고 그전 아이디로 로그인도 어렵고 인증에서 넘어가지를 않아서요 어떻게 해야하나요?",C01|C05,앱 오류·기능 실패|문의·문제 해결,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR046,2024-05-20T17:36:39-07:00,5,"특별했던 일요일 오후,,✨","요즘 이성을 만날 기회가 한정적이어서 용기내어서 신청했어요~ 장소,분위기가 좋아서 금방 적응할수 있었고 신원검증되신 분들이라 신뢰가 갔네요^^ 아쉽게 매칭은 안되었지만 조만간 솔로 친구랑 같이 신청할게여 ! 디저트챙겨주시고 신경써주셔서 감사했습니다❤️‍🔥다음에는 꼭 매칭될래요~",C07|C11|R01,호스트·참여자·정보 신뢰|연애·파티 목적 경험|재참여·지속 이용,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR047,2024-05-17T09:11:45-07:00,1,외로운 사람들에게 미안해야 한다,"문토 참여 5번 이상
대다수는 외로운 사람들에게 플랫폼을 제공하고 돈을 받아가겠다는 마인드로 소셜링을 열어서
알맹이 없는 모임에 돈이 쭉쭉 나간다
시간을 같이 보내고 싶은 사람들의 마음을 이용하는 소셜링 개설자들은 플랫폼만 열고 모든게 돈
당연한건가? 싶다가도 돈을 내고 사람을 만나고 싶진 않다.
자연스러운 모임이 많았으면 한다.
나이대 30대 중반 대다수이고 나이많은 남자들은 가진것도 없으면서 까내리고 자랑하러 나온다 결혼대상자를 찾으며 허세를 부리지만 별로임",C09|C10|C11|C16,가격·수수료 대비 가치|수익 구조와 상업화 인식|연애·파티 목적 경험|모임 선택 폭,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR048,2024-05-14T17:29:47-07:00,1,고객센터 시간도아닌데 무슨 신고처리로영구정지시키는 거지같은앱,유명호스트들은 메시지다보내고 해도 괜찮고 일반인들은 조금만메시지보내도 다영구정지시켜버리는거지같은앱입니다.,C06,규칙 집행과 제재,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR049,2024-04-17T22:38:02-07:00,5,숫자가 안 사라져요,배경화면에서 문토 어플 위에 뜨는 숫자가 안 사라집니다. 채팅 갯수 같은데 대화방에서 채팅을 아무리 읽어도 안 사라져요. 잘 사용하고 있는데 확인 부탁드립니다.,C01,앱 오류·기능 실패,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR050,2024-04-17T22:20:38-07:00,1,사람들과 만나는 위치...,사람들과 모이는 장소가 너무 애매해요 중간지점에서 만나고싶은데 그게 어려운거같아요,C15,지역별 공급·장소,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
